,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total,price,currency,dollar-price
0,4,9413,unamused,2.0,buttondown tan,8.6,blue cat skin,cool_1,1.2,hat white,5.0,11.8,11.49,ETH,33877.9203
1,5,7088,sunglasses cool,10.0,shirt white,10.6,blue cat skin,cool_1,1.2,arrowhead,8.8,30.6,1.5,ETH,4422.705
2,6,4700,sunglasses blue,3.2,work red,3.4,blue cat skin,cool_2,5.0,ninja red,74.0,80.5,8.65,ETH,25504.265499999998
3,7,9498,mummy,0.7,tshirt red,5.1,blue cat skin,cool_2,5.0,flower red,5.4,11.2,6.0,WETH,17690.82
4,8,1740,hearts,4.2,epaulette white,118.3,blue cat skin,classy_1,6.2,sunhat tan,41.8,170.5,20.0,ETH,58969.399999999994
5,12,5984,dizzy,4.8,tanktop sailor black,42.6,blue cat skin,cool_2,5.0,arrowhead,8.8,56.3,0.969,ETH,2857.0674299999996
6,13,8722,double face,3.8,tanktop pink,5.9,blue cat skin,cool_2,5.0,mohawk purple,5.6,15.3,0.5,ETH,1474.235
7,16,7186,shocked,7.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,beanie orange,12.8,25.4,9.0,ETH,26536.23
8,17,5722,wink,7.7,buttondown red flannel,43.4,blue cat skin,cool_2,5.0,piercings,8.1,59.2,0.0246,ETH,72.53236199999999
9,18,7555,sunglasses pixel,5.8,tanktop orange,7.7,blue cat skin,cool_2,5.0,beanie red,7.9,21.4,7.74,ETH,22821.1578
10,20,7719,angry,3.5,shirt white,10.6,blue cat skin,cool_1,1.2,hat visor yellow,5.0,20.3,0.98,ETH,2889.5006
11,21,6876,ninja black,7.5,tanktop tattoo,34.9,blue cat skin,cool_2,5.0,headband blue,4.2,46.7,6.19,ETH,18251.0293
12,22,8823,hearts,4.2,overalls blue,0.0,blue cat skin,cool_1,1.2,flower blue,9.5,14.8,7.2,ETH,21228.984
13,24,4636,three eyes,1.6,shirt yellow,4.4,blue cat skin,wild_1,1.9,wreath flowers,75.2,83.1,14.2,ETH,41868.274
14,26,1040,wink,7.7,combat black,110.7,blue cat skin,classy_1,6.2,wreath flowers,75.2,199.8,2.5,ETH,7371.174999999999
15,27,3978,beard tan,10.2,tshirt yellow,4.4,blue cat skin,wild_1,1.9,nurse,80.8,97.2,6.99,ETH,20609.8053
16,28,2981,hearts,4.2,sweater orange,8.0,blue cat skin,wild_1,1.9,helm bronze,107.2,121.2,1.85,ETH,5454.6695
17,29,7107,beard tan,10.2,tshirt green,7.7,blue cat skin,cool_1,1.2,arrowhead,8.8,28.0,7.45,ETH,21966.1015
18,30,6666,angry cute,2.4,bandana red,0.6,blue cat skin,wild_1,1.9,visor green,44.5,49.3,0.9,ETH,2653.623
19,31,4300,wink,7.7,work blue,5.1,blue cat skin,wild_1,1.9,tvhead grey,76.6,91.2,3.25,ETH,9582.5275
20,32,7396,sunglasses yellow,8.5,buttondown green,0.2,blue cat skin,cool_1,1.2,beanie orange,12.8,22.7,14.0,ETH,41278.579999999994
21,34,1766,beard brown,5.4,pirate black,69.7,blue cat skin,classy_1,6.2,top hat,88.4,169.6,1.25,ETH,3685.5874999999996
22,35,4586,beard pirate,0.8,bandana purple,3.0,blue cat skin,wild_2,4.2,bow,76.6,84.6,1.75,ETH,5159.822499999999
23,36,4569,sunglasses yellow,8.5,pirate black,69.7,blue cat skin,wild_1,1.9,hat visor yellow,5.0,85.0,12.5,ETH,36855.875
24,37,8769,happy,6.7,bandana red,0.6,blue cat skin,cool_1,1.2,headband red,6.6,15.1,8.45,WETH,24914.571499999995
25,38,6568,stunned,2.8,buttondown red flannel,43.4,blue cat skin,cool_2,5.0,headband blue,4.2,50.4,0.11,ETH,324.33169999999996
26,39,5786,happy cute,8.9,tshirt green,7.7,blue cat skin,cool_2,5.0,sunhat tan,41.8,58.5,1.3,ETH,3833.011
27,40,5780,glasses,4.8,tanktop white,3.9,blue cat skin,cool_2,5.0,pirate red,49.8,58.5,7.9,ETH,23292.913
28,41,8059,rich,3.6,hoodie purple,6.4,blue cat skin,cool_2,5.0,flower pink,8.4,18.4,0.04,ETH,117.9388
29,42,1072,ditto,0.0,lederhosen,75.2,blue cat skin,classy_2,9.4,dutch,113.9,198.5,0.5,ETH,1474.235
30,43,1945,sunglasses cowboy,7.3,pirate red,97.4,blue cat skin,wild_2,4.2,sunhat black,53.9,162.7,9.0,ETH,26536.23
31,44,3727,face face,9.1,buttondown black flannel,3.0,blue cat skin,wild_2,4.2,halo fire,85.2,101.5,1.5,ETH,4422.705
32,45,1719,angry scar,6.3,overalls yellow,60.0,blue cat skin,classy_2,9.4,astro,95.3,171.1,0.2,ETH,589.694
33,46,2072,smirk,6.3,viking navy,68.4,blue cat skin,classy_1,6.2,bow,76.6,157.4,14.8025,WETH,43644.727175
34,47,8388,angry scar,6.3,robe red,5.1,blue cat skin,cool_2,5.0,beret green,5.4,16.8,10.75,ETH,31696.052499999998
35,48,5295,uwu,5.0,work blue,5.1,blue cat skin,cool_2,5.0,beanie black,54.8,64.9,7.5,ETH,22113.524999999998
36,49,3908,angry,3.5,tanktop sailor blue,41.8,blue cat skin,wild_1,1.9,hat visor blue,51.4,98.5,0.9,ETH,2653.623
37,50,4782,unamused,2.0,viking navy,68.4,blue cat skin,wild_1,1.9,apple,4.0,76.3,0.1775,ETH,523.3534249999999
38,51,4912,happy,6.7,work red,3.4,blue cat skin,cool_2,5.0,hat black,61.4,71.5,7.3,ETH,21523.831
39,52,1331,face face,9.1,astro black,115.7,blue cat skin,classy_1,6.2,helm army,54.8,185.8,10.9,ETH,32138.323
40,53,6860,derp,3.5,sweater pink,39.7,blue cat skin,cool_2,5.0,bucket hat tan,3.7,46.8,0.65,ETH,1916.5055
41,55,5819,ditto,0.0,buttondown red flannel,43.4,blue cat skin,wild_1,1.9,beanie orange,12.8,58.0,0.13,ETH,383.30109999999996
42,56,1549,grin,5.4,sweater black,54.8,blue cat skin,wild_2,4.2,helm silver,113.9,178.3,15.0,ETH,44227.049999999996
43,57,6108,stunned,2.8,tanktop sailor black,42.6,blue cat skin,cool_2,5.0,wreath,9.5,54.9,6.66,ETH,19636.8102
44,58,6620,sunglasses cool,10.0,ninja blue,34.9,blue cat skin,cool_2,5.0,hat visor yellow,5.0,50.0,0.75,ETH,2211.3525
45,60,1017,beard pirate,0.8,gown white,95.4,blue cat skin,classy_2,9.4,astro,95.3,201.0,1.05,ETH,3095.8935
46,61,6003,happy,6.7,buttondown black flannel,3.0,blue cat skin,wild_1,1.9,visor green,44.5,56.1,14.5,ETH,42752.814999999995
47,62,8092,angry,3.5,sweater orange,8.0,blue cat skin,cool_1,1.2,mohawk purple,5.6,18.3,9.0,ETH,26536.23
48,63,8107,ninja blue,4.5,bandana green,4.4,blue cat skin,cool_1,1.2,piercings,8.1,18.2,9.0,ETH,26536.23
49,64,4414,happy,6.7,sweater orange,8.0,blue cat skin,cool_2,5.0,ninja red,74.0,88.7,0.022,ETH,64.86634
50,65,9584,three eyes,1.6,buttondown green,0.2,blue cat skin,cool_2,5.0,arrowhead,8.8,10.6,4.77,ETH,14064.201899999998
51,66,5907,ninja red,5.8,overalls blue,0.0,blue cat skin,cool_2,5.0,hat visor blue,51.4,57.1,0.022,ETH,64.86634
52,67,5630,shocked,7.5,buttondown red flannel,43.4,blue cat skin,cool_2,5.0,wreath,9.5,60.4,0.022,ETH,64.86634
53,68,5618,ninja red,5.8,sweater black,54.8,blue cat skin,cool_2,5.0,hat white,5.0,60.6,0.022,ETH,64.86634
54,69,3771,ninja blue,4.5,sweater pink,39.7,blue cat skin,wild_1,1.9,bucket hat white,54.8,100.8,0.025,ETH,73.71175
55,70,2662,derp,3.5,viking brown,73.7,blue cat skin,wild_2,4.2,ninja blue,51.4,132.7,0.025,ETH,73.71175
56,71,4130,angry cute,2.4,overalls flannel,35.6,blue cat skin,wild_1,1.9,beanie black,54.8,94.6,4.99,ETH,14712.8653
57,72,7532,sunglasses cowboy,7.3,tshirt green,7.7,blue cat skin,cool_1,1.2,beret green,5.4,21.6,0.022,ETH,64.86634
58,73,3896,stunned,2.8,overalls red,84.5,blue cat skin,wild_1,1.9,wreath,9.5,98.7,5.99,ETH,17661.3353
59,74,6580,owo,3.5,ninja red,37.6,blue cat skin,cool_2,5.0,beret red,9.3,50.3,1.6,ETH,4717.552
60,75,2179,glossy,9.6,gown white,95.4,blue cat skin,wild_2,4.2,hat skull,43.2,152.3,5.5,ETH,16216.585
61,76,3476,double face,3.8,tanktop sailor black,42.6,blue cat skin,wild_2,4.2,helm army,54.8,105.3,0.85,ETH,2506.1994999999997
62,78,5021,uwu,5.0,tanktop orange,7.7,blue cat skin,cool_2,5.0,unicorn horn,56.6,69.3,0.024,ETH,70.76328
63,79,4223,happy,6.7,ninja red,37.6,blue cat skin,wild_1,1.9,beret black,46.7,92.8,11.1,ETH,32728.016999999996
64,80,1977,shocked,7.5,knight leather,81.2,blue cat skin,classy_1,6.2,cowboy black,66.7,161.6,1.5,ETH,4422.705
65,82,8287,glasses funny,4.2,tshirt pink,3.9,blue cat skin,cool_2,5.0,beret red,9.3,17.3,0.743,ETH,2190.71321
66,83,618,angry,3.5,combat green,123.9,blue cat skin,classy_2,9.4,knight blue,93.5,230.3,0.3,ETH,884.5409999999999
67,84,1069,sunglasses pixel,5.8,costume dragon,126.8,blue cat skin,classy_2,9.4,unicorn horn,56.6,198.5,1.25,ETH,3685.5874999999996
68,85,5354,uwu,5.0,work red,3.4,blue cat skin,cool_2,5.0,sunhat white,55.7,64.1,0.6,ETH,1769.0819999999999
69,86,378,mononoke,4.5,overalls red,84.5,blue cat skin,exotic_1,16.0,knight black,152.1,257.1,25.0,ETH,73711.75
70,87,3214,sunglasses cool,10.0,tanktop sailor black,42.6,blue cat skin,wild_1,1.9,mullet brown,57.5,112.0,1.5,ETH,4422.705
71,90,9709,sunglasses pixel,5.8,overalls blue,0.0,blue cat skin,cool_2,5.0,bucket hat tan,3.7,9.4,5.8,ETH,17101.125999999997
72,91,7739,sunglasses yellow,8.5,tshirt red,5.1,blue cat skin,cool_1,1.2,beret green,5.4,20.2,9.69,ETH,28570.674299999995
73,92,5052,ninja black,7.5,bandana purple,3.0,blue cat skin,cool_2,5.0,mullet blonde,58.5,68.9,9.6,ETH,28305.311999999998
74,93,748,mummy,0.7,ninja black,84.5,blue cat skin,exotic_1,16.0,admiral pink,118.8,219.9,9.9,ETH,29189.853
75,94,5522,owo,3.5,buttondown tan,8.6,blue cat skin,cool_2,5.0,pirate red,49.8,61.8,1.1532,ETH,3400.1756039999996
76,96,7497,sunglasses pixel,5.8,tshirt green,7.7,blue cat skin,cool_2,5.0,flower pink,8.4,21.8,0.67,ETH,1975.4749
77,97,3848,mononoke,4.5,knight,87.9,blue cat skin,wild_2,4.2,bucket hat green,3.0,99.5,6.8,ETH,20049.595999999998
78,99,3945,sunglasses heart,3.0,knight leather,81.2,blue cat skin,wild_2,4.2,wreath,9.5,97.9,1.7745,WETH,5232.060014999999
79,104,7212,face face,9.1,sweater orange,8.0,blue cat skin,cool_1,1.2,headband red,6.6,24.9,2.99,ETH,8815.9253
80,105,7801,sunglasses cool,10.0,tshirt yellow,4.4,blue cat skin,cool_1,1.2,headband blue,4.2,19.8,0.005,ETH,14.74235
81,106,8136,rich,3.6,work blue,5.1,blue cat skin,cool_2,5.0,beret red,9.3,18.0,14.8,ETH,43637.356
82,108,3980,mummy,0.7,ninja red,37.6,blue cat skin,wild_2,4.2,helm army,54.8,97.2,8.3,ETH,24472.301
83,110,3959,unamused,2.0,baseball blue,38.9,blue cat skin,wild_1,1.9,bucket hat white,54.8,97.6,6.7,ETH,19754.749
84,111,5374,glossy,9.6,buttondown black flannel,3.0,blue cat skin,cool_2,5.0,hat visor blue,51.4,63.9,7.0,ETH,20639.289999999997
85,112,5304,hearts,4.2,tanktop pink,5.9,blue cat skin,cool_2,5.0,helm army,54.8,64.8,9.4,ETH,27715.618
86,113,6534,smirk,6.3,winter red,38.9,blue cat skin,cool_2,5.0,candle,5.6,50.9,0.06,ETH,176.9082
87,114,6220,glasses,4.8,tshirt metal,41.1,blue cat skin,cool_2,5.0,beanie red,7.9,53.9,7.25,ETH,21376.407499999998
88,115,4720,face face,9.1,overalls pink,60.0,blue cat skin,wild_1,1.9,arrowhead,8.8,79.8,7.77,ETH,22909.611899999996
89,116,3874,unamused,2.0,tshirt red,5.1,blue cat skin,wild_1,1.9,bucket hat blue,90.1,99.1,6.98,ETH,20580.3206
90,117,6328,tired,5.9,hoodie black,42.6,blue cat skin,cool_2,5.0,headband blue,4.2,52.8,9.7,ETH,28600.158999999996
91,120,7462,smirk,6.3,work blue,5.1,blue cat skin,cool_1,1.2,flower blue,9.5,22.1,6.98,ETH,20580.3206
92,122,6065,three eyes,1.6,work blue,5.1,blue cat skin,wild_2,4.2,visor green,44.5,55.4,5.5,ETH,16216.585
93,123,3629,double face,3.8,sweater green chain,86.2,blue cat skin,wild_2,4.2,arrowhead,8.8,103.0,17.0,ETH,50123.99
94,125,6504,wink,7.7,overalls flannel,35.6,blue cat skin,cool_2,5.0,beanie red,7.9,51.2,0.77,ETH,2270.3219
95,127,1217,stunned,2.8,costume dragon,126.8,blue cat skin,classy_1,6.2,helm army,54.8,190.5,6.5,WETH,19165.055
96,128,2243,double face,3.8,gown white,95.4,blue cat skin,classy_1,6.2,hat skull,43.2,148.5,0.0375,ETH,110.56762499999999
97,129,6223,ditto,0.0,winter blue,46.6,blue cat skin,wild_1,1.9,flower red,5.4,53.8,8.7765,WETH,25877.246955
98,130,8721,uwu,5.0,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,bucket hat green,3.0,15.3,8.7,ETH,25651.688999999995
99,131,3443,sunglasses squad,9.1,cowboy black,84.5,blue cat skin,wild_2,4.2,piercings,8.1,105.9,0.05,ETH,147.4235
100,132,3065,angry,3.5,buttondown red flannel,43.4,blue cat skin,wild_2,4.2,cowboy black,66.7,117.8,6.6942,ETH,19737.647874
101,133,2271,sunglasses yellow,8.5,sweater orange,8.0,blue cat skin,wild_2,4.2,crown fire,126.6,147.3,2.55,WETH,7518.598499999999
102,134,8442,glossy,9.6,robe blue,0.4,blue cat skin,cool_1,1.2,beret green,5.4,16.5,15.0,ETH,44227.049999999996
103,135,8749,beard brown,5.4,tshirt red,5.1,blue cat skin,cool_1,1.2,antlers,3.5,15.2,5.69,ETH,16776.7943
104,136,6656,derp,3.5,tanktop sailor black,42.6,blue cat skin,cool_2,5.0,mohawk green,3.3,49.4,0.65,ETH,1916.5055
105,137,5218,smirk,6.3,robe red,5.1,blue cat skin,cool_2,5.0,beanie black,54.8,66.2,6.5,ETH,19165.055
106,138,3864,zombie,1.1,tanktop white,3.9,blue cat skin,wild_2,4.2,halo,90.1,99.3,0.06,ETH,176.9082
107,139,5146,ninja red,5.8,robe blue,0.4,blue cat skin,cool_2,5.0,sushi,61.4,67.6,8.251,ETH,24327.825969999998
108,140,8578,ninja black,7.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,mohawk green,3.3,15.9,4.25,ETH,12530.9975
109,141,7758,ninja red,5.8,robe blue,0.4,blue cat skin,cool_1,1.2,beanie orange,12.8,20.1,0.075,ETH,221.13524999999998
110,142,5496,ninja black,7.5,winter blue,46.6,blue cat skin,cool_2,5.0,piercings,8.1,62.2,1.0,ETH,2948.47
111,148,4955,angry,3.5,overalls pink,60.0,blue cat skin,wild_1,1.9,flower red,5.4,70.8,4.7,ETH,13857.809
112,149,9381,beard tan,10.2,bandana red,0.6,blue cat skin,cool_1,1.2,hat white,5.0,12.0,12.69,ETH,37416.084299999995
113,150,3106,ninja blue,4.5,sweater black,54.8,blue cat skin,wild_1,1.9,helm army,54.8,115.9,8.68,ETH,25592.719599999997
114,151,8426,rich,3.6,buttondown green,0.2,blue cat skin,cool_2,5.0,beanie orange,12.8,16.6,1.74,ETH,5130.337799999999
115,152,3856,ninja black,7.5,toga,41.8,blue cat skin,wild_1,1.9,afro brown,48.2,99.4,0.905,ETH,2668.36535
116,153,489,glossy,9.6,lederhosen,75.2,blue cat skin,classy_2,9.4,costume frog,148.5,242.7,0.06,ETH,176.9082
117,154,5497,sunglasses cool,10.0,robe white,46.6,blue cat skin,cool_2,5.0,mohawk purple,5.6,62.2,14.4,ETH,42457.968
118,155,3488,ditto,0.0,sweater pink,39.7,blue cat skin,wild_2,4.2,sushi,61.4,105.2,10.0,ETH,29484.699999999997
119,156,8445,ninja black,7.5,bandana green,4.4,blue cat skin,cool_1,1.2,antlers,3.5,16.5,0.083,ETH,244.72301
120,159,2988,beard tan,10.2,tshirt white,53.8,blue cat skin,wild_1,1.9,helm army,54.8,120.7,10.0,ETH,29484.699999999997
121,160,716,happy cute,8.9,tanktop tattoo,34.9,blue cat skin,classy_1,6.2,astro fishbowl,172.5,222.5,11.97,ETH,35293.1859
122,161,176,beard brown,5.4,costume gorilla,166.9,blue cat skin,exotic_1,16.0,crown black,118.8,307.0,21.5,ETH,63392.104999999996
123,165,2575,three eyes,1.6,sweater pink,39.7,blue cat skin,classy_2,9.4,halo fire,85.2,135.9,1.2,WETH,3538.1639999999998
124,169,6862,angry cute,2.4,ninja blue,34.9,blue cat skin,cool_2,5.0,flower blue,9.5,46.8,0.05,ETH,147.4235
125,170,5998,sunglasses cool,10.0,tshirt metal,41.1,blue cat skin,cool_2,5.0,hat visor yellow,5.0,56.1,5.5,WETH,16216.585
126,172,3924,sunglasses cool,10.0,ninja blue,34.9,blue cat skin,wild_1,1.9,hat visor blue,51.4,98.2,7.1,ETH,20934.137
127,173,4923,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_2,5.0,beanie blue,59.4,71.3,0.567,ETH,1671.7824899999998
128,175,6293,ninja black,7.5,winter red,38.9,blue cat skin,cool_2,5.0,headband red,6.6,53.0,1.8,ETH,5307.246
129,177,5521,angry scar,6.3,tshirt pink,3.9,blue cat skin,wild_1,1.9,pirate red,49.8,61.8,10.0,ETH,29484.699999999997
130,179,5500,owo,3.5,tshirt pink,3.9,blue cat skin,cool_2,5.0,bucket hat white,54.8,62.2,0.85,ETH,2506.1994999999997
131,180,1358,sunglasses cowboy,7.3,nurse,115.7,blue cat skin,wild_2,4.2,afro black,57.5,184.7,11.88,ETH,35027.8236
132,181,6674,sunglasses blue,3.2,hoodie black,42.6,blue cat skin,cool_2,5.0,antlers,3.5,49.3,0.855,ETH,2520.9418499999997
133,182,7541,happy cute,8.9,hoodie purple,6.4,blue cat skin,cool_1,1.2,hat visor yellow,5.0,21.5,7.99,ETH,23558.275299999998
134,183,4351,owo,3.5,sweater orange,8.0,blue cat skin,wild_1,1.9,tvhead grey,76.6,89.9,2.3,ETH,6781.480999999999
135,184,6268,angry,3.5,sweater orange,8.0,blue cat skin,cool_2,5.0,sunhat tan,41.8,53.3,0.301,WETH,887.4894699999999
136,185,4498,zombie,1.1,tanktop tattoo,34.9,blue cat skin,wild_2,4.2,beret pink,46.7,86.9,0.06,ETH,176.9082
137,186,8601,derp,3.5,bandana purple,3.0,blue cat skin,cool_1,1.2,piercings,8.1,15.8,1.25,ETH,3685.5874999999996
138,187,9798,ditto,0.0,overalls blue,0.0,blue cat skin,cool_2,5.0,piercings,8.1,8.1,1.25,ETH,3685.5874999999996
139,188,1635,ninja black,7.5,punk,108.3,blue cat skin,wild_2,4.2,helm army,54.8,174.7,1.88,ETH,5543.123599999999
140,190,1986,double face,3.8,knight leather,81.2,blue cat skin,classy_2,9.4,cowboy black,66.7,161.2,11.469,ETH,33816.00242999999
141,191,6685,ninja blue,4.5,tshirt green,7.7,blue cat skin,cool_2,5.0,cowboy brown,36.9,49.1,0.1,ETH,294.847
142,193,5321,rich,3.6,tanktop orange,7.7,blue cat skin,wild_1,1.9,hat visor blue,51.4,64.6,1.5,ETH,4422.705
143,196,5392,ditto,0.0,buttondown blue flannel,6.1,blue cat skin,wild_1,1.9,sunhat white,55.7,63.7,1.3,ETH,3833.011
144,197,8804,angry scar,6.3,tshirt red,5.1,blue cat skin,cool_2,5.0,antlers,3.5,14.9,9.2,ETH,27125.923999999995
145,198,6145,owo,3.5,toga,41.8,blue cat skin,cool_2,5.0,beret red,9.3,54.6,5.9,ETH,17395.972999999998
146,201,5603,glossy,9.6,toga,41.8,blue cat skin,cool_2,5.0,beret red,9.3,60.7,5.969,ETH,17599.41743
147,203,9328,pixel,5.6,buttondown green,0.2,blue cat skin,cool_1,1.2,flower red,5.4,12.3,6.29,ETH,18545.8763
148,204,8058,stunned,2.8,tshirt red,5.1,blue cat skin,cool_1,1.2,beret red,9.3,18.4,3.482,ETH,10266.57254
149,206,8256,dizzy,4.8,tanktop pink,5.9,blue cat skin,cool_1,1.2,candle,5.6,17.5,0.66,ETH,1945.9902
150,208,5664,unamused,2.0,robe blue,0.4,blue cat skin,cool_2,5.0,mullet brown,57.5,60.0,1.765,ETH,5204.04955
151,209,5827,face face,9.1,bandana red,0.6,blue cat skin,cool_2,5.0,afro brown,48.2,57.9,0.4,ETH,1179.388
152,213,5806,stunned,2.8,bandana red,0.6,blue cat skin,cool_2,5.0,beanie black,54.8,58.2,15.15,ETH,44669.3205
153,214,2440,ditto,0.0,lederhosen,75.2,blue cat skin,classy_1,6.2,beanie blue,59.4,140.7,0.95,ETH,2801.0464999999995
154,216,9657,hearts,4.2,robe blue,0.4,blue cat skin,cool_1,1.2,headband blue,4.2,10.0,12.0,ETH,35381.64
155,218,9090,sunglasses cowboy,7.3,tshirt red,5.1,blue cat skin,cool_1,1.2,hat white,5.0,13.6,6.69,ETH,19725.2643
156,219,1928,double face,3.8,overalls yellow,60.0,blue cat skin,classy_2,9.4,halo,90.1,163.4,0.29,ETH,855.0562999999999
157,220,5576,glasses,4.8,bandana red,0.6,blue cat skin,cool_2,5.0,sunhat white,55.7,61.1,0.05,ETH,147.4235
158,221,7489,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_1,1.2,arrowhead,8.8,21.9,1.69,ETH,4982.9142999999995
159,222,2153,angry,3.5,pirate red,97.4,blue cat skin,wild_2,4.2,afro brown,48.2,153.2,1.15,ETH,3390.7404999999994
160,223,6177,sunglasses yellow,8.5,shirt bowtie,40.4,blue cat skin,cool_2,5.0,flower red,5.4,54.3,0.005,ETH,14.74235
161,224,6376,ditto,0.0,buttondown black flannel,3.0,blue cat skin,wild_1,1.9,cupcake,47.4,52.3,0.04,ETH,117.9388
162,225,875,beard tan,10.2,wetsuit,81.2,blue cat skin,classy_2,9.4,costume gorilla,109.3,210.2,3.99,ETH,11764.3953
163,226,965,sunglasses heart,3.0,costume hotdog,108.3,blue cat skin,exotic_1,16.0,bow,76.6,203.9,9.0,ETH,26536.23
164,227,5951,pixel,5.6,tshirt yellow,4.4,blue cat skin,cool_2,5.0,beret pink,46.7,56.7,0.64,ETH,1887.0208
165,229,3200,sunglasses cowboy,7.3,tshirt white,53.8,blue cat skin,wild_1,1.9,pirate red,49.8,112.7,12.0,ETH,35381.64
166,230,3236,derp,3.5,sweater black,54.8,blue cat skin,wild_1,1.9,ninja blue,51.4,111.5,9.0,ETH,26536.23
167,231,405,mummy,0.7,cowboy black,84.5,blue cat skin,exotic_1,16.0,knight black,152.1,253.3,17.6942,ETH,52170.81787399999
168,233,8788,uwu,5.0,robe red,5.1,blue cat skin,cool_1,1.2,bucket hat tan,3.7,15.0,7.3,ETH,21523.831
169,235,5415,ninja red,5.8,buttondown blue flannel,6.1,blue cat skin,cool_2,5.0,hat visor blue,51.4,63.3,0.51,ETH,1503.7196999999999
170,236,7412,glossy,9.6,hoodie purple,6.4,blue cat skin,cool_1,1.2,flower red,5.4,22.5,15.0,ETH,44227.049999999996
171,237,7222,beard tan,10.2,tanktop orange,7.7,blue cat skin,cool_1,1.2,candle,5.6,24.7,6.9,ETH,20344.443
172,239,522,beard tan,10.2,epaulette red,106.0,blue cat skin,exotic_1,16.0,astro cheeks,107.2,239.4,21.0,ETH,61917.869999999995
173,240,6675,happy cute,8.9,tanktop tattoo,34.9,blue cat skin,cool_2,5.0,flower red,5.4,49.3,0.76,ETH,2240.8372
174,241,4506,hearts,4.2,lederhosen,75.2,blue cat skin,wild_1,1.9,mohawk purple,5.6,86.8,0.9,ETH,2653.623
175,242,5558,beard tan,10.2,baseball red,47.4,blue cat skin,cool_2,5.0,bucket hat tan,3.7,61.4,0.06,ETH,176.9082
176,243,5924,smirk,6.3,winter blue,46.6,blue cat skin,cool_2,5.0,apple,4.0,57.0,5.45,ETH,16069.1615
177,245,3604,dizzy,4.8,tanktop sailor blue,41.8,blue cat skin,wild_1,1.9,beanie black,54.8,103.3,8.0,ETH,23587.76
178,247,9474,angry,3.5,work red,3.4,blue cat skin,cool_1,1.2,mohawk green,3.3,11.4,6.0,ETH,17690.82
179,248,7056,beard brown,5.4,tshirt blue,32.5,blue cat skin,cool_2,5.0,mohawk green,3.3,41.2,8.8,ETH,25946.536
180,249,8891,smirk,6.3,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,apple,4.0,14.5,7.19,ETH,21199.4993
181,254,7151,face face,9.1,tanktop orange,7.7,blue cat skin,cool_1,1.2,piercings,8.1,26.2,8.99,ETH,26506.7453
182,255,7456,sunglasses yellow,8.5,buttondown black flannel,3.0,blue cat skin,cool_1,1.2,wreath,9.5,22.2,2.85,ETH,8403.1395
183,256,6732,hearts,4.2,ninja blue,34.9,blue cat skin,cool_2,5.0,flower blue,9.5,48.6,6.1,ETH,17985.666999999998
184,257,1273,sunglasses pixel,5.8,knight leather,81.2,blue cat skin,exotic_1,16.0,halo fire,85.2,188.2,2.0,WETH,5896.94
185,258,1316,uwu,5.0,gown black,123.9,blue cat skin,classy_1,6.2,hat visor blue,51.4,186.4,0.399,ETH,1176.4395299999999
186,259,5947,ninja red,5.8,hoodie purple,6.4,blue cat skin,cool_2,5.0,mohawk red,44.5,56.7,8.39,ETH,24737.6633
187,261,7100,beard tan,10.2,buttondown tan,8.6,blue cat skin,cool_1,1.2,flower pink,8.4,28.3,6.5,ETH,19165.055
188,262,7658,sunglasses cool,10.0,tshirt pink,3.9,blue cat skin,cool_1,1.2,candle,5.6,20.7,1.3,ETH,3833.011
189,264,2671,rich,3.6,baseball blue,38.9,blue cat skin,classy_1,6.2,pirate black,83.7,132.5,8.0,WETH,23587.76
190,265,6923,glasses,4.8,ninja red,37.6,blue cat skin,cool_2,5.0,antlers,3.5,45.9,11.0,ETH,32433.17
191,266,1114,unamused,2.0,epaulette white,118.3,blue cat skin,classy_2,9.4,cowboy black,66.7,196.6,1.99,ETH,5867.4553
192,267,1199,zombie,1.1,sweater green chain,86.2,blue cat skin,classy_2,9.4,astro,95.3,192.1,1.4,ETH,4127.857999999999
193,268,8599,angry scar,6.3,buttondown blue flannel,6.1,blue cat skin,cool_2,5.0,mohawk green,3.3,15.8,9.7,ETH,28600.158999999996
194,269,3841,unamused,2.0,labcoat,38.2,blue cat skin,wild_1,1.9,afro black,57.5,99.7,6.26,ETH,18457.422199999997
195,270,7692,glossy,9.6,buttondown green,0.2,blue cat skin,cool_1,1.2,wreath,9.5,20.5,0.6,ETH,1769.0819999999999
196,271,2048,dizzy,4.8,labcoat,38.2,blue cat skin,classy_1,6.2,costume gorilla,109.3,158.6,2.1,ETH,6191.787
197,273,7234,smirk,6.3,bandana green,4.4,blue cat skin,cool_1,1.2,beanie orange,12.8,24.7,5.333,ETH,15724.19051
198,274,3150,mummy,0.7,epaulette black,101.6,blue cat skin,wild_2,4.2,piercings,8.1,114.6,0.3,WETH,884.5409999999999
199,275,6640,angry,3.5,bandana purple,3.0,blue cat skin,cool_2,5.0,hat skull,43.2,49.6,10.2,WETH,30074.393999999997
